Time,Id,Beta1,Beta2,ChiSquare1,Exponential1,InverseGamma1,Laplace2,Normal1
2022-11-03T11:44:06.726-06:00,2,0,0,0,0,0,0,0
2022-11-03T11:44:06.819-06:00,2,0,0,0,0,0,0,0
2022-11-03T11:44:06.928-06:00,2,0,0,0,0,0,0,0
2022-11-03T11:44:07.020-06:00,2,0,0,0,0,0,0,0
2022-11-03T11:44:07.129-06:00,2,0,0,0,0,0,0,0
2022-11-03T11:44:07.222-06:00,2,0,0,0,0,0,0,0
2022-11-03T11:44:07.315-06:00,2,0,0,0,0,0,0,0
2022-11-03T11:44:07.423-06:00,2,0,0,0,0,0,0,0
2022-11-03T11:44:07.516-06:00,2,0,0,0,0,0,0,0
2022-11-03T11:44:07.570-06:00,2,0,0,0,0,0,0,0
2022-11-03T11:44:07.671-06:00,2,0,0,0,0,0,0,0
2022-11-03T11:44:07.779-06:00,2,0,0,0,0,0,0,0
2022-11-03T11:44:07.872-06:00,2,0,0,0,0,0,0,0
2022-11-03T11:44:07.981-06:00,2,0,0,0,0,0,0,0
2022-11-03T11:44:08.074-06:00,2,0,0,0,0,0,0,0
2022-11-03T11:44:08.182-06:00,2,0,0,0,0,0,0,0
2022-11-03T11:44:08.275-06:00,2,0,0,0,0,0,0,0
2022-11-03T11:44:08.368-06:00,2,0,0,0,0,0,0,0
2022-11-03T11:44:08.476-06:00,2,0,0,0,0,0,0,0
2022-11-03T11:44:08.569-06:00,2,0,0,0,0,0,0,0
2022-11-03T11:44:08.625-06:00,2,0,0,0,0,0,0,0
2022-11-03T11:44:08.724-06:00,2,0.607585843878702,0.68553135638181,2.2201272360423,51.679510132048,6.43488840662064,5.34522186671168,36.613248202918
2022-11-03T11:44:08.832-06:00,2,0.670733587738303,0.690448990452398,3.78980338103198,181.250157081448,4.74673251940824,7.54751223823531,54.8014745809186
2022-11-03T11:44:08.925-06:00,2,0.687355241578826,0.604880311993974,2.96985090366971,22.5185910453323,3.25268932548416,-0.35803643268887,51.963342351973
2022-11-03T11:44:09.034-06:00,2,0.584445933188588,0.705717004123428,0.690638543591428,2.38405970518588,3.8406067738698,-7.01886611241554,42.5625812636583
2022-11-03T11:44:09.127-06:00,2,0.62863372568723,0.645084378674633,1.10443639219027,5.41749678444169,7.44182840811516,-2.89682114355343,26.2560914416093
2022-11-03T11:44:09.235-06:00,2,0.619834286275376,0.696071538328322,6.77118948853206,28.1166416954476,2.97043752160953,-0.110453837812744,42.3498589223054
